name,Region,Last Update,Confirmed,Deaths,Recovered
Wisconsin,USA,2020-04-13 03:00:00,3341,144,84
South Carolina,USA,2020-04-13 03:00:00,3320,82,0
Nevada,USA,2020-04-13 03:00:00,2836,114,994
Mississippi,USA,2020-04-13 03:00:00,2781,96,0
Rhode Island,USA,2020-04-13 03:00:00,2665,63,0
Utah,USA,2020-04-13 03:00:00,2303,18,26
Kentucky,USA,2020-04-13 03:00:00,2018,113,306
Oklahoma,USA,2020-04-13 03:00:00,1970,96,409
District of Columbia,USA,2020-04-13 03:00:00,1875,50,493
Delaware,USA,2020-04-13 03:00:00,1625,35,213
Minnesota,USA,2020-04-13 03:00:00,1621,70,842
Iowa,USA,2020-04-13 03:00:00,1587,41,674
Oregon,USA,2020-04-13 03:00:00,1527,52,0
Idaho,USA,2020-04-13 03:00:00,1426,27,0
Kansas,USA,2020-04-13 03:00:00,1337,56,53
Arkansas,USA,2020-04-13 03:00:00,1280,27,346
New Mexico,USA,2020-04-13 03:00:00,1245,26,235
New Hampshire,USA,2020-04-13 03:00:00,985,23,239
Puerto Rico,USA,2020-04-13 03:00:00,897,44,0
Nebraska,USA,2020-04-13 03:00:00,814,17,0
South Dakota,USA,2020-04-13 03:00:00,730,6,196
Vermont,USA,2020-04-13 03:00:00,727,27,0
Navajo Nation,USA,2020-04-13 03:00:00,698,24,0
Maine,USA,2020-04-13 03:00:00,633,19,266
West Virginia,USA,2020-04-13 03:00:00,611,8,57
Hawaii,USA,2020-04-13 03:00:00,499,9,310
Montana,USA,2020-04-13 03:00:00,387,6,169
North Dakota,USA,2020-04-13 03:00:00,308,8,121
Alaska,USA,2020-04-13 03:00:00,272,8,66
Wyoming,USA,2020-04-13 03:00:00,270,0,137
Guam,USA,2020-04-13 03:00:00,133,5,58
Grand Princess,USA,2020-04-13 03:00:00,103,3,0
United States Virgin Islands,USA,2020-04-13 03:00:00,51,1,43
Diamond Princess,USA,2020-04-13 03:00:00,49,0,0
Northern Mariana Islands,USA,2020-04-13 03:00:00,11,2,0
Wuhan Evacuee,USA,2020-04-13 03:00:00,4,0,0
New York,USA,2020-04-14 03:00:00,196146,10058,26463
New Jersey,USA,2020-04-14 03:00:00,64584,2443,355
Massachusetts,USA,2020-04-14 03:00:00,26867,844,729
Michigan,USA,2020-04-14 03:00:00,25635,1602,433
California,USA,2020-04-14 03:00:00,24372,732,1116
Pennsylvania,USA,2020-04-14 03:00:00,24336,592,264
Illinois,USA,2020-04-14 03:00:00,22025,798,259
Florida,USA,2020-04-14 03:00:00,21019,499,0
Louisiana,USA,2020-04-14 03:00:00,21016,884,0
Texas,USA,2020-04-14 03:00:00,14505,317,2404
Georgia,USA,2020-04-14 03:00:00,13621,480,340
Connecticut,USA,2020-04-14 03:00:00,13381,602,34
Washington,USA,2020-04-14 03:00:00,10725,522,1410
Maryland,USA,2020-04-14 03:00:00,8936,262,594
Indiana,USA,2020-04-14 03:00:00,8368,353,105
Colorado ,USA,2020-04-14 03:00:00,7696,308,116
Ohio,USA,2020-04-14 03:00:00,6975,274,12
Virginia,USA,2020-04-14 03:00:00,5747,149,2
Tennessee,USA,2020-04-14 03:00:00,5610,109,1671
North Carolina,USA,2020-04-14 03:00:00,5007,111,325
Missouri,USA,2020-04-14 03:00:00,4531,137,219
US Military,USA,2020-04-14 03:00:00,4528,15,588
Alabama,USA,2020-04-14 03:00:00,3803,103,0
Arizona,USA,2020-04-14 03:00:00,3705,122,3
South Carolina,USA,2020-04-14 03:00:00,3439,87,0
Wisconsin,USA,2020-04-14 03:00:00,3428,155,87
Nevada,USA,2020-04-14 03:00:00,3029,121,1169
Rhode Island,USA,2020-04-14 03:00:00,2976,73,0
Mississippi,USA,2020-04-14 03:00:00,2942,98,0
Utah,USA,2020-04-14 03:00:00,2363,18,218
Oklahoma,USA,2020-04-14 03:00:00,2069,99,409
Kentucky,USA,2020-04-14 03:00:00,2048,106,306
District of Columbia,USA,2020-04-14 03:00:00,1955,52,507
Delaware,USA,2020-04-14 03:00:00,1761,41,277
Iowa,USA,2020-04-14 03:00:00,1710,43,674
Minnesota,USA,2020-04-14 03:00:00,1650,70,842
Oregon,USA,2020-04-14 03:00:00,1584,53,0
Arkansas,USA,2020-04-14 03:00:00,1475,30,391
Idaho,USA,2020-04-14 03:00:00,1464,27,0
Kansas,USA,2020-04-14 03:00:00,1391,62,53
New Mexico,USA,2020-04-14 03:00:00,1345,31,235
New Hampshire,USA,2020-04-14 03:00:00,1020,23,249
Puerto Rico,USA,2020-04-14 03:00:00,903,45,0
South Dakota,USA,2020-04-14 03:00:00,868,6,207
Nebraska,USA,2020-04-14 03:00:00,853,18,0
Navajo Nation,USA,2020-04-14 03:00:00,813,28,0
Vermont,USA,2020-04-14 03:00:00,748,28,0
Maine,USA,2020-04-14 03:00:00,698,19,273
